Open,High,Low,Close,Adj Close,Volume
71800.0,71900.0,71100.0,71500.0,71163.03125,8862017
72100.0,72800.0,71900.0,72600.0,72257.851563,10859463
72800.0,73000.0,72200.0,73000.0,72655.960938,9861960
73300.0,73500.0,73100.0,73500.0,73153.609375,13758646
73300.0,73500.0,72800.0,72800.0,72456.90625,13116766
74100.0,74300.0,72500.0,73100.0,72755.492188,27567593
73800.0,74000.0,73200.0,73300.0,72954.546875,15419815
73300.0,73400.0,72800.0,72900.0,72556.4375,9690551
73000.0,73400.0,72800.0,73400.0,73054.078125,8907632
74200.0,74900.0,73800.0,74800.0,74447.484375,16870156
74600.0,75000.0,74300.0,75000.0,74646.539063,13478766
75800.0,76300.0,75400.0,75900.0,75542.296875,14515608
76100.0,76700.0,75700.0,76600.0,76239.0,13164909
76700.0,78000.0,76500.0,78000.0,78000.0,20651042
77700.0,78500.0,77500.0,78500.0,78500.0,17797536
78200.0,79800.0,78200.0,79600.0,79600.0,17142847
78500.0,78800.0,77000.0,77000.0,77000.0,21753644
76100.0,77300.0,76100.0,76600.0,76600.0,15324439
76700.0,77100.0,76400.0,76600.0,76600.0,11304316
77000.0,77500.0,76400.0,76500.0,76500.0,11088724
77400.0,77700.0,74300.0,74700.0,74700.0,26019249
75000.0,75200.0,73200.0,73600.0,73600.0,20259529
72900.0,73600.0,72700.0,73200.0,73200.0,57691266
73000.0,74100.0,72800.0,73100.0,73100.0,13038939
73200.0,74000.0,73200.0,73900.0,73900.0,2957915
73500.0,73700.0,72500.0,72600.0,72600.0,14760415
73100.0,73300.0,71000.0,71000.0,71000.0,22683660
71600.0,72000.0,70700.0,71700.0,71700.0,17853397
73500.0,74700.0,73000.0,74700.0,74700.0,23363427
75900.0,76000.0,75000.0,75100.0,75100.0,19673375
75700.0,75800.0,74300.0,75200.0,75200.0,14786224
75200.0,75200.0,73500.0,74000.0,74000.0,12860661
74200.0,74800.0,73700.0,74100.0,74100.0,11737747
73700.0,74500.0,73300.0,73400.0,73400.0,11160062
73800.0,75200.0,73500.0,74400.0,74400.0,13976521
75000.0,75300.0,73700.0,74300.0,74300.0,12244418
73400.0,74000.0,72500.0,72700.0,72700.0,15703560
73000.0,74200.0,72900.0,73600.0,73600.0,19881033
74000.0,75200.0,73700.0,75200.0,75200.0,14955881
74200.0,74800.0,73500.0,74300.0,74300.0,19026021
74300.0,74700.0,73300.0,74400.0,74400.0,14559254
74600.0,75500.0,74300.0,75000.0,75000.0,16566445
75000.0,75200.0,73600.0,74100.0,74100.0,20810708
74800.0,75200.0,74400.0,75200.0,75200.0,21966745
73700.0,74300.0,73700.0,74000.0,74000.0,12434945
74200.0,74400.0,73000.0,73200.0,73200.0,14120600
73300.0,73400.0,72500.0,72800.0,72800.0,13444781
72800.0,73900.0,72800.0,73800.0,73800.0,12726404
73700.0,73700.0,72800.0,73300.0,73300.0,14681477
73400.0,73700.0,72900.0,73000.0,73000.0,11503495
73800.0,73900.0,72700.0,73100.0,73100.0,15208934
73600.0,74200.0,72900.0,72900.0,72900.0,16225166
72300.0,73200.0,72200.0,72800.0,72800.0,14669352
73100.0,73400.0,72700.0,72900.0,72900.0,13201981
72900.0,73900.0,72800.0,73200.0,73200.0,11795859
72600.0,73400.0,72000.0,73400.0,73400.0,21176403
74300.0,75000.0,74000.0,74900.0,74900.0,23210474
74600.0,74800.0,73700.0,73700.0,73700.0,19505125
73200.0,73500.0,72700.0,72900.0,72900.0,21547905
73100.0,73300.0,72200.0,72200.0,72200.0,14516963
72800.0,73400.0,72600.0,73300.0,73300.0,19271349
72900.0,73100.0,72300.0,72400.0,72400.0,9740504
72600.0,73500.0,72100.0,73300.0,73300.0,13011654
73700.0,74100.0,73500.0,74100.0,74100.0,15243134
74400.0,74500.0,73600.0,74300.0,74300.0,22545539
73400.0,73700.0,72300.0,72300.0,72300.0,22580555
72600.0,73000.0,72500.0,72800.0,72800.0,11520348
72300.0,73000.0,71700.0,72800.0,72800.0,15376066
73700.0,77200.0,73400.0,76900.0,76900.0,50106297
79200.0,79300.0,77700.0,79300.0,79300.0,44569799
79600.0,79900.0,77800.0,78900.0,78900.0,26724761
79600.0,79800.0,77800.0,78200.0,78200.0,18703996
79700.0,80100.0,79200.0,79900.0,79900.0,30551494
79200.0,80000.0,79200.0,79800.0,79800.0,17424595
79400.0,81000.0,79200.0,80800.0,80800.0,25084812
81200.0,82500.0,80900.0,82400.0,82400.0,27126366
83200.0,83300.0,82000.0,82000.0,82000.0,20116513
82900.0,85000.0,82900.0,85000.0,85000.0,37077944
84300.0,85000.0,83500.0,84100.0,84100.0,30493347
85200.0,85500.0,84300.0,85300.0,85300.0,25248934
84500.0,85000.0,83800.0,84500.0,84500.0,18883752
85200.0,86000.0,84500.0,84500.0,84500.0,18953232
84500.0,84900.0,83100.0,83600.0,83600.0,23725956
83200.0,84700.0,82500.0,84100.0,84100.0,25538009
84700.0,84900.0,83200.0,83700.0,83700.0,17061770
82900.0,83200.0,81200.0,82200.0,82200.0,26663772
81200.0,81300.0,79400.0,80000.0,80000.0,31949845
80700.0,80800.0,78900.0,78900.0,78900.0,22611631
78800.0,80100.0,78300.0,79600.0,79600.0,21370190
78300.0,78700.0,76300.0,77600.0,77600.0,31317563
77400.0,77500.0,75100.0,76100.0,76100.0,30469477
76400.0,76800.0,75500.0,75500.0,75500.0,18717699
77500.0,78800.0,77200.0,78600.0,78600.0,22166150
77300.0,77500.0,76300.0,76300.0,76300.0,15549134
77800.0,77900.0,76500.0,76700.0,76700.0,12755629
77400.0,77600.0,76200.0,76700.0,76700.0,14664474
77000.0,78500.0,76600.0,77500.0,77500.0,19007007
77600.0,78600.0,77300.0,78000.0,78000.0,18900640
79000.0,79000.0,77500.0,77700.0,77700.0,11957343
