Date,Open,High,Low,Close,Adj Close,Volume
2023-12-14,52400.000000,54900.000000,52300.000000,54300.000000,54241.683594,4990407
2023-12-15,54400.000000,55000.000000,54000.000000,54900.000000,54841.039063,2212939
2023-12-18,55000.000000,55000.000000,53700.000000,53900.000000,53842.113281,1357544
2023-12-19,53500.000000,54400.000000,53200.000000,53800.000000,53742.222656,933314
2023-12-20,54200.000000,54200.000000,53000.000000,53700.000000,53642.328125,1132733
2023-12-21,52900.000000,53600.000000,52000.000000,52800.000000,52743.296875,1536311
2023-12-22,53300.000000,53700.000000,52600.000000,52800.000000,52743.296875,1215421
2023-12-26,52100.000000,53400.000000,52100.000000,52400.000000,52343.726563,957793
2023-12-27,52400.000000,53500.000000,52100.000000,53400.000000,53342.652344,940418
2023-12-28,53700.000000,54300.000000,53300.000000,54300.000000,54241.683594,979793
2024-01-02,54300.000000,57900.000000,54000.000000,57900.000000,57837.816406,3726752
2024-01-03,57100.000000,57600.000000,56000.000000,56600.000000,56539.214844,1917854
2024-01-04,55800.000000,57800.000000,55600.000000,57200.000000,57138.570313,1884358
2024-01-05,57400.000000,57500.000000,55500.000000,55800.000000,55740.074219,1316579
2024-01-08,55800.000000,58800.000000,55800.000000,57200.000000,57138.570313,2497737
2024-01-09,58500.000000,59200.000000,58300.000000,58700.000000,58636.957031,2166853
2024-01-10,58900.000000,60000.000000,58600.000000,59200.000000,59136.421875,2729859
2024-01-11,60300.000000,61900.000000,59400.000000,60800.000000,60734.703125,4601300
2024-01-12,60900.000000,61200.000000,59100.000000,60400.000000,60335.132813,2014084
2024-01-15,60500.000000,61200.000000,59800.000000,61100.000000,61034.382813,397232
2024-01-16,60600.000000,61700.000000,59400.000000,59600.000000,59535.992188,1918777
2024-01-17,59600.000000,59900.000000,56600.000000,57500.000000,57438.246094,3326071
2024-01-18,57200.000000,57900.000000,55900.000000,56800.000000,56739.000000,2237185
2024-01-19,58100.000000,58800.000000,57100.000000,57600.000000,57538.140625,1736180
